sample_name,team_site_location_id,sampleID,,collection_timestamp,hh:mm,latitude,longitude,geo_loc_name,county,place name,"city, nearest town","environmental feature (habitat) original, i.e. as described in the logsheet",environmental feature (habitat) curated,Elevation (meters),current land use,land use curated (according to EMP 500 Soil),"plant type/species (original entry, i.e. as described on logsheets)",plant species (curated) ,Vegetation Zone,soil temperature (°C),soil moisture (%),soil lab: % moisture,Soil Weight g  (DNA kit) ,DNA (ug/mL),DNA (ug/mL),10/12: DNA (μg/mL),soil_type,Litter type,Litter depth (approximation (cm),pH,pH_corrected,mg-C / kg of soil (method DOI:10.1080/00103629309368926),mg-N / kg of soil (method DOI: 10.1080/00103629309368926)
isd_1_site_1_loc_1_repl_2_DNA,isd_1_site_1_loc_1,1,2016-06-15T11:30,15/06/2016,11:30,35.4016982,24.9544273,"Greece: Crete, Heraklion",Heraklion,Fodele Beach,Fodele,beach,beach; scrubland,3,beach/tourism,sand,shrub,,coastal and littoral,-,1,0.2213,0.2599,22.9,4.25,11.3,sandy,small dried branches,6.5,6.5,6.5,21,1
isd_1_site_1_loc_2_repl_2_DNA,isd_1_site_1_loc_2,2,2016-06-15T11:30,15/06/2016,11:30,35.4016933,24.9543686,"Greece: Crete, Heraklion",Heraklion,Fodele Beach,Fodele,beach,beach; scrubland,3,beach/tourism,sand,shrub,,coastal and littoral,-,1,0.4761,0.2569,13.4,11.7,41.6,sandy,small dried branches,6.5,6.5,6.5,26.6,1.3
isd_1_site_2_loc_1_repl_2_DNA,isd_1_site_2_loc_1,3,2016-06-15T13:20,15/06/2016,13:20,35.3518526,24.3609229,"Greece: Crete, Rethimno",Rethimno,west of Petras,Petras,lacustrine beach,lacustrine beach,8,pristine,roads/railroads; sand,-,,coastal and littoral,-,1.5,1.7921,0.2596,7.81,4.38,16.3,sandy,dried sticks,5,6.9,6.9,71.7,0.8
isd_1_site_2_loc_2_repl_2_DNA,isd_1_site_2_loc_2,4,2016-06-15T13:20,15/06/2016,13:20,35.3518104,24.3611832,"Greece: Crete, Rethimno",Rethimno,west of Petras,Petras,lacustrine beach,lacustrine beach,10,pristine,roads/railroads; sand,-,,coastal and littoral,-,1.5,9.071,0.254,15.6,<0.010,3.62,sandy,dried sticks,5,6.9,6.9,237.5,5.3
isd_1_site_3_loc_1_repl_2_DNA,isd_1_site_3_loc_1,5,2016-06-15T14:20,15/06/2016,14:20,35.3403308,24.2033705,"Greece: Crete, Chania",Chania,road between Alikampos & Kryonerida,Alikampos,olive grove,olive grove,341,almond grove,intermixed hardwood & conifers,almond tree ,Prunus dulcis,sub-mountainous,-,1.1,10.3874,0.2516,31.8,11,19.7,-,none,0,6.6,6.6,64.3,1.1
isd_1_site_3_loc_2_repl_2_DNA,isd_1_site_3_loc_2,6,2016-06-15T14:20,15/06/2016,14:20,35.340395,24.2033204,"Greece: Crete, Chania",Chania,road between Alikampos & Kryonerida,Alikampos,olive grove,olive grove,340,almond grove,intermixed hardwood & conifers,almond tree ,Prunus dulcis,sub-mountainous,-,1,1.4669,0.255,31.8,<0.010,6.12,-,grasses,10,6.8,6.8,48,1
isd_1_site_4_loc_1_repl_2_DNA,isd_1_site_4_loc_1,7,2016-06-15T16:30,15/06/2016,16:30,35.2569413,24.1711796,"Greece: Crete, Chania",Chania,Impros,Impros,shrub,scrubland; gravel field; ,789,pristine,shrub land; gravel,pink bush,,sub-mountainous,-,1,1.293,0.244,21.9,3.21,7.81,clay,green eggplants,2,7,7,44.1,1.4
isd_1_site_4_loc_2_repl_2_DNA,isd_1_site_4_loc_2,8,2016-06-15T16:30,15/06/2016,16:30,35.2569467,24.1712356,"Greece: Crete, Chania",Chania,Impros,Impros,shrub,scrubland; gravel field,789,pristine,shrub land; gravel,pink bush,,sub-mountainous,-,1.2,1.346,0.2534,8.06,13,31.8,clay,green eggplants,2,7,7,47.2,1.2
isd_1_site_5_loc_1_repl_2_DNA,isd_1_site_5_loc_1,9,2016-06-15T16:15,15/06/2016,16:15,35.2569878,24.1711939,"Greece: Crete, Chania",Chania,Impros,Impros,shrub,scrubland; gravel field,790,-,shrub land; gravel,green tree,,sub-mountainous,-,1.1,3.4259,0.252,4.09,10.8,21.9,clay,rocks,-,6.9,6.9,31.8,0.4
isd_1_site_5_loc_2_repl_2_DNA,isd_1_site_5_loc_2,10,2016-06-15T16:15,15/06/2016,16:15,35.2569764,24.1712535,"Greece: Crete, Chania",Chania,Impros,Impros,shrub,scrubland; gravel field,789,-,shrub land; gravel,green tree,,sub-mountainous,-,1.1,5.959,0.2568,16.1,10.6,25.6,clay,moss,-,7,7,69,6
