taxon	Feature	Coefficient	stderr	tvalue	p	r2	adj_r2	padj	nsamples
f 67.14	Organic Nitrogen (mg/kg soil)	1.53934689901855	0.504177120045976	3.05318674294102	0.00272083045381331	0.0637084821018151	0.0568742374456238	0.0165818003029816	139
f JG30.KF.CM45	Organic Nitrogen (mg/kg soil)	0.375097954306051	0.605804885887962	0.619172877346885	0.536830749678622	0.00279054908861277	-0.00448835201293041	0.734040290946931	139
o Vicinamibacterales	Organic Nitrogen (mg/kg soil)	0.595127123473262	0.26037150573919	2.28568453288968	0.0238077511374996	0.0367331870027651	0.0297020423823473	0.0901042413669962	138
c KD4.96	Organic Nitrogen (mg/kg soil)	0.32760200981321	0.491094463590647	0.66708552855176	0.505839510567694	0.00323768119872378	-0.00403795616478919	0.708872815318936	139
f Vicinamibacteraceae	Organic Nitrogen (mg/kg soil)	0.836158230610589	0.453700108171519	1.84297560337915	0.0674939011820692	0.0241926091140506	0.0170699274287517	0.192751367150992	139
Blastococcus	Organic Nitrogen (mg/kg soil)	-1.05769052792678	0.366724321608375	-2.88415702369554	0.00455959602206198	0.05724233082374	0.0503608879830373	0.0248150307370661	139
Nocardioides	Organic Nitrogen (mg/kg soil)	-0.88643457102341	0.622451803940949	-1.4241015375184	0.156690797966304	0.0145874517235271	0.00739465940034101	0.342623704626974	139
RB41	Organic Nitrogen (mg/kg soil)	-0.236095368410954	0.155424089951169	-1.51903973499302	0.13105690955491	0.0165639468035445	0.00938558145174551	0.304518415591056	137
Solirubrobacter	Organic Nitrogen (mg/kg soil)	-1.52957829296055	0.571516123973628	-2.67635195018773	0.00835122550443008	0.049685888398267	0.0427492890435096	0.0396365271403154	139
Rubrobacter	Organic Nitrogen (mg/kg soil)	0.00804472275227055	0.191239238036826	0.0420662769568314	0.966507109299495	1.29164146020994e-05	-0.0072862593779921	0.984588297076561	138
Microvirga	Organic Nitrogen (mg/kg soil)	-0.999476489693789	0.312213836208376	-3.20125623461071	0.00170102961676195	0.0695971326793596	0.0628058708740994	0.0115250919686407	139
f Isosphaeraceae	Organic Nitrogen (mg/kg soil)	-0.0512767988343326	0.415908228380172	-0.12328873375273	0.902059150102574	0.000110937413206277	-0.00718752289764635	0.955693792277479	139
f Gemmataceae	Organic Nitrogen (mg/kg soil)	0.343118182319942	0.251992169683246	1.36162239783578	0.175552091805888	0.0133522645844059	0.00615045629670075	0.368525383561979	138
c Gitt.GS.136	Organic Nitrogen (mg/kg soil)	-0.314657379842742	0.397480257369003	-0.791630210580819	0.429944806072166	0.00455346592415023	-0.00271256717129398	0.646235287655021	139
f Gemmatimonadaceae	Organic Nitrogen (mg/kg soil)	-1.02217684202067	0.439968548834055	-2.32329525537564	0.0216355628150093	0.0379058145719468	0.0308832292768514	0.0836164956486815	139
f Bacillaceae	Organic Nitrogen (mg/kg soil)	-0.147090332738654	0.306125219143018	-0.480490738889224	0.631644857726292	0.00168235724139083	-0.00560463285173785	0.800073725096515	139
o Gaiellales	Organic Nitrogen (mg/kg soil)	0.30783571534586	0.33379097478752	0.922240978929457	0.35802418157557	0.0061699322660958	-0.00108430180495467	0.581571594463443	139
Sphingomonas	Organic Nitrogen (mg/kg soil)	-1.89392176567379	0.428528467004219	-4.41959382281865	1.99482824595382e-05	0.124784124259728	0.118395687210529	0.000376041211686859	139
c TK10	Organic Nitrogen (mg/kg soil)	0.135043211722671	0.259800275054832	0.519796261548104	0.604044441445239	0.0019682944793316	-0.0053166084806735	0.782679535409227	138
Gaiella	Organic Nitrogen (mg/kg soil)	0.171747120165763	0.229768166190639	0.7474800491869	0.456054899304762	0.0040617301312499	-0.00320789227655127	0.668565899733384	138
Geodermatophilus	Organic Nitrogen (mg/kg soil)	-0.676128458019178	0.158353120335408	-4.26975140487962	3.63321809273243e-05	0.117443057393747	0.111001035914869	0.000572407067656789	136
f Xanthobacteraceae	Organic Nitrogen (mg/kg soil)	0.905083046601678	0.242156138959157	3.73760108041008	0.000271947283360218	0.0925329080450072	0.0859090606584743	0.00278327369542499	138
Bacillus	Organic Nitrogen (mg/kg soil)	-0.361857561816316	0.283014428687187	-1.27858344005589	0.203205520159608	0.0117919591672039	0.00457876178886218	0.408244867531658	139
Microlunatus	Organic Nitrogen (mg/kg soil)	0.134069168631774	0.242544757672439	0.552760529307489	0.581328185046912	0.00222528671026637	-0.00505774039403839	0.767093413721232	138
f Ilumatobacteraceae	Organic Nitrogen (mg/kg soil)	0.427145802548593	0.470533437835445	0.907790537721519	0.365582949453501	0.00597924280351042	-0.00127638316142753	0.58772362059667	139
Streptomyces	Organic Nitrogen (mg/kg soil)	0.535038222386029	0.434397918705395	1.23167768386314	0.220179465030051	0.0109519379518625	0.00373260903180306	0.429786638419828	139
Mycobacterium	Organic Nitrogen (mg/kg soil)	1.89281028944689	0.460911324876011	4.10666908641499	6.86625724416408e-05	0.109607516143033	0.103108300932398	0.000961070437618775	139
Pseudarthrobacter	Organic Nitrogen (mg/kg soil)	-0.614568040492588	0.111595902130419	-5.50708429933528	1.74353627765409e-07	0.181248694550275	0.175272407649182	7.27770723038649e-06	133
c Acidimicrobiia	Organic Nitrogen (mg/kg soil)	-1.76202058626901	0.452305593139507	-3.89564182489679	0.000152520390915281	0.09972678156864	0.0931554442078271	0.00173487305968112	139
o Microtrichales	Organic Nitrogen (mg/kg soil)	2.0655541112313	0.776562953028742	2.65986692151003	0.00874956981951895	0.049105655676438	0.0421648210463389	0.0407818932265714	139
o IMCC26256	Organic Nitrogen (mg/kg soil)	0.862217764247299	0.488032591126431	1.76672169015846	0.0795017695463218	0.0222757382873332	0.0151390648441749	0.216950318109365	139
